향수ID,향수명,브랜드명,성별,이미지URL,향_설명
10806,Lust,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.10806.webp,"재스민을 깨끗하게 다듬기보다, 살짝 야성적이고 뜨거운 흰 꽃으로 표현한 향수입니다. 일랑일랑의 노란 꽃결과 바닐라의 온기, 샌달우드의 부드러운 나무결이 더해져 피부 가까이에서 농밀하게 퍼집니다.

재스민은 장식적인 플로럴이 아니라 이 향의 중심축입니다. 장미는 꽃잎의 그림자를 더하고, 샌달우드는 흰 꽃의 날카로운 모서리를 둥글게 정리합니다. 바닐라는 디저트처럼 달기보다 꽃의 관능을 오래 붙잡는 역할을 합니다.

깨끗한 비누 향보다 더 인간적인 플로럴을 원할 때 잘 어울립니다. 선명한 존재감이 있지만 차갑지 않고, 가까운 거리에서 더 매혹적으로 느껴지는 타입입니다.

레이어링을 할 때는 투명한 베르가못이나 그린 티 계열을 추천합니다. 재스민의 체온이 더 선명해지고, 화이트 머스크를 아주 얇게 더하면 꽃의 야성은 남기면서 살결 같은 부드러움이 생깁니다. 바닐라나 앰버와 조합하면 밤 향수처럼 더 짙고 관능적인 인상이 됩니다."
4367,Karma,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.4367.webp,"오렌지와 레몬그라스가 밝게 열리지만, 곧바로 패출리와 전나무 수지가 흙과 나무의 색을 입히는 시트러스 아로마틱 향수입니다. 산뜻함만 남는 향이 아니라 허브, 수지, 스파이스가 함께 움직이며 독특한 캐릭터를 만듭니다.

라벤더와 소나무는 향을 깨끗하게 정돈하고, 카시스와 시나몬은 작은 이질감을 더합니다. 엘레미의 수지감까지 겹치면 명상적인 숲의 공기와 거리의 자유로운 에너지가 동시에 느껴집니다.

흰 셔츠에도 오래 입은 재킷에도 자연스럽게 어울립니다. 흔한 상쾌함보다 개성 있는 시트러스 우디 무드를 원할 때 좋은 선택입니다.

레이어링을 할 때는 깨끗한 시트러스 코롱을 추천합니다. 오렌지와 레몬그라스가 더 환하게 열리고, 패출리와 전나무 수지는 젖은 흙보다 햇빛 받은 숲길처럼 느껴집니다. 앰버나 인센스를 소량 더하면 더 깊고 명상적인 분위기로 바뀝니다."
29173,Lord of Misrule,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.29173.webp,"겨울 축제의 달콤한 소란을 어둡게 비튼 듯한 패출리 바닐라 향수입니다. 블랙 페퍼가 공기를 흔들고, 바닐라는 설탕보다 따뜻한 살결처럼 번지며, 패출리는 숲 바닥의 흙과 젖은 잎을 떠올리게 합니다.

구성은 간결하지만 대비가 강합니다. 매운 기운은 바닐라의 단맛을 가볍게 흐르지 않게 잡아 주고, 패출리는 향의 마지막에 어두운 깊이를 남깁니다.

쌀쌀한 날, 니트나 어두운 코트와 특히 잘 어울립니다. 포근함 안에 장난스러운 어둠이 있는 시그니처를 찾는 사람에게 적합합니다.

레이어링을 할 때는 스모키 우드나 인센스 계열을 추천합니다. 블랙 페퍼의 불꽃이 더 어두워지고, 바닐라의 단맛은 숲속 모닥불 옆의 따뜻한 공기처럼 변합니다. 화이트 머스크를 안쪽에 깔면 패출리의 흙내음이 더 둥글게 정리됩니다."
10798,American Cream,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.10798.webp,"1950년대 밀크셰이크 바를 떠올리게 하지만, 실제 인상은 유치한 딸기 우유보다 훨씬 부드럽고 세련된 바닐라 락토닉 향수입니다. 바닐라와 우유의 크리미함 위로 딸기와 오렌지가 밝은 색감을 더하고, 꿀은 달콤함에 윤기를 줍니다.

라벤더와 클라리 세이지가 중요한 균형추입니다. 이 허브의 건조함이 있어 향이 단순한 디저트로 흐르지 않고, 벤조인은 바닐라의 온기를 매끈한 크림 질감으로 정리합니다.

친근하지만 값싸 보이지 않는 달콤함을 원할 때 잘 맞습니다. 가까운 거리에서 부드럽고 포근한 인상을 남기며, 편안한 옷차림에도 작게 꾸민 듯한 분위기를 더합니다.

레이어링을 할 때는 라벤더 계열이나 화이트 머스크를 추천합니다. 라벤더는 크리미한 단맛을 더 어른스럽게 정리하고, 화이트 머스크는 달콤한 우유 향을 깨끗한 침구처럼 부드럽게 펼쳐 줍니다. 과일 향을 더하면 사랑스러운 무드가 더해지지만, 양이 많으면 디저트 향으로 기울 수 있습니다."
88995,Sticky Dates,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.88995.webp,"설탕을 앞세우는 향이 아니라, 막 데운 캐러멜이 나무 그릇에 스며드는 듯한 우디 구르망 향수입니다. 달콤함은 분명하지만 끈적한 시럽으로 흐르지 않고, 벤조인과 샌달우드가 둥근 깊이를 만들어 줍니다.

캐러멜은 표면에 윤기를 만들고, 벤조인은 따뜻한 수지의 그림자를 더합니다. 샌달우드는 마지막까지 향을 부드럽게 받쳐 먹는 냄새보다 몸에 남는 온기로 느껴지게 합니다.

포근한 분위기를 만들고 싶은 날에 잘 어울립니다. 달콤한 향을 좋아하지만 과자처럼 단순한 향은 피하고 싶은 사람에게 추천할 만합니다.

레이어링을 할 때는 쌉싸래한 커피, 드라이 우드, 밝은 베르가못 계열을 추천합니다. 커피는 캐러멜의 윤기를 깊은 라테처럼 바꾸고, 우디 계열은 단맛을 눌러 더 고급스럽게 정리합니다. 시트러스 한 겹을 더하면 따뜻하지만 답답하지 않은 달콤함이 됩니다."
60072,Let The Good Times Roll,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.60072.webp,"막 구운 팝콘과 캐러멜의 즐거움을 향수의 언어로 옮긴 듯한 락토닉 구르망 향수입니다. 밝고 장난스러운 첫 인상 뒤로 우유빛 부드러움과 따뜻한 곡물감이 함께 움직입니다.

캐러멜은 향의 표면에 윤기를 만들고, 팝콘과 버터는 고소한 질감을 더합니다. 시나몬은 단맛이 평평하게 흐르지 않도록 작은 온도감을 남깁니다.

기분 좋은 단맛을 부드럽게 남기고 싶을 때 잘 어울립니다. 과하게 무거운 디저트 향보다 밝고 편안한 구르망 무드를 원하는 사람에게 적합합니다.

레이어링을 할 때는 쌉싸래한 시트러스나 화이트 머스크를 추천합니다. 시트러스는 캐러멜의 밀도를 가볍게 정리하고, 머스크는 팝콘의 고소함을 피부 가까운 포근함으로 바꿉니다."
8130,Vanillary,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.8130.webp,"바닐라를 설탕처럼 쓰지 않고, 따뜻한 피부와 흰 꽃의 그림자를 품은 재료로 다루는 향수입니다. 통카빈의 고소한 단맛, 재스민의 부드러운 꽃결, 바닐라의 크림 같은 온기가 차분한 관능을 만듭니다.

재스민이 있어 향은 평면적인 바닐라 로션처럼 내려앉지 않습니다. 통카빈은 포근함에 깊이를 더하고, 바닐라는 전체를 매끄럽게 감싸며 가까운 거리에서 오래 기억되는 질감을 남깁니다.

달콤한 향을 좋아하지만 너무 어린 인상은 피하고 싶을 때 잘 맞습니다. 니트나 셔츠처럼 일상적인 옷차림에도 자연스럽습니다.

레이어링을 할 때는 화이트 머스크나 드라이 우드를 추천합니다. 머스크는 바닐라를 깨끗한 살결처럼 정리하고, 우디 계열은 포근함을 더 차분하고 고급스럽게 만듭니다."
72229,Turmeric Latte Perfume,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.72229.webp,"따뜻한 음료를 떠올리게 하지만, 실제로는 향신료와 수지가 만든 부드러운 황금빛에 가까운 향수입니다. 강황의 흙내음 섞인 열감, 통카빈과 바닐라의 달콤한 온기, 벤조인의 수지감이 차분하게 겹칩니다.

달콤함은 무겁게 눌리지 않고 향신료 덕분에 살아 있습니다. 벤조인은 향의 가장자리를 둥글게 만들고, 통카빈은 고소한 깊이를 더해 밀도 있는 라테 같은 질감을 만듭니다.

쌀쌀한 날에 특히 잘 어울립니다. 포근하지만 흔한 바닐라 향보다 개성이 있고, 가까운 거리에서 따뜻하게 남는 향을 원하는 사람에게 적합합니다.

레이어링을 할 때는 카다멈이나 시나몬 같은 스파이스 계열, 또는 화이트 머스크를 추천합니다. 스파이스는 황금빛 라테의 열감을 더 살리고, 머스크는 강황의 흙내음을 부드러운 니트처럼 정돈합니다."
13716,Breath Of God,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.13716.webp,"나무를 숲처럼 크게 그리기보다 피부 가까이의 결감과 잔향으로 보여주는 향수입니다. 마른 나무결, 허브의 숨결, 낮은 앰버빛의 대비가 선명하지만, 전체 분위기는 피부 위에서 부드럽게 정리됩니다.

인센스와 멜론이 먼저 향의 표정을 열고, 블랙 페퍼, 일랑일랑 쪽으로 질감이 이어집니다. 마지막에는 로즈가 잔향을 부드럽게 붙잡습니다.

나무결 중심의 향을 좋아하지만 너무 건조한 느낌은 피하고 싶을 때 잘 맞습니다. 허브와 머스크가 균형을 부드럽게 잡아줍니다.

레이어링을 할 때는 베르가못이나 자몽을 더하면 나무결이 더 맑게 열립니다. 앰버나 벤조인을 소량 곁들이면 잔향이 따뜻하게 둥글어집니다."
11734,Dirty,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.11734.webp,"허브와 시트러스가 공기를 밝히고, 초록빛 재료가 향의 윤곽을 또렷하게 잡아주는 향수입니다. 민트, 타라곤, 라벤더에서 출발해 허브의 숨결, 초록빛 생기, 산뜻한 스파이스 사이를 자연스럽게 오갑니다.

민트에서는 차가운 숨결과 깨끗한 생기가 느껴집니다. 타라곤에서는 아니스 같은 허브감이 더해집니다. 타임은 향의 안쪽을 채우며 전체 인상을 입체적으로 만듭니다. 여기에 샌달우드가 스치면서 잔향에 섬세한 굴곡이 생깁니다.

향이 무겁게 남지 않아 가까운 실내에서도 부담이 적습니다. 산뜻한 시작 뒤에 은근한 잔향이 남는 타입입니다.

레이어링을 할 때는 그린 티, 네롤리, 자몽이 잘 맞습니다. 허브의 쓴맛이 밝아지고 전체 인상이 더 투명하게 열립니다."
