source_accord,target_accord,color_name,hex,description
Floral,Floral,Bloom Bloom,#E8A7C8,플로럴와 플로럴 무드를 함께 표현하는 Bloom Bloom 컬러입니다.
Floral,Woody,Bloom Cedar,#C88E90,플로럴와 우디 무드를 함께 표현하는 Bloom Cedar 컬러입니다.
Floral,Fresh,Bloom Mist,#C3BBCC,플로럴와 프레시 무드를 함께 표현하는 Bloom Mist 컬러입니다.
Floral,Spicy,Bloom Ember,#D9878C,플로럴와 스파이시 무드를 함께 표현하는 Bloom Ember 컬러입니다.
Floral,Sweet,Bloom Blush,#ECA7C0,플로럴와 스위트 무드를 함께 표현하는 Bloom Blush 컬러입니다.
Floral,Gourmand,Bloom Caramel,#D39491,플로럴와 구르망 무드를 함께 표현하는 Bloom Caramel 컬러입니다.
Floral,Musky,Bloom Skin,#E1B5C2,플로럴와 머스키 무드를 함께 표현하는 Bloom Skin 컬러입니다.
Floral,Green,Bloom Leaf,#BDAC9F,플로럴와 그린 무드를 함께 표현하는 Bloom Leaf 컬러입니다.
Floral,Citrus,Bloom Zest,#EEB592,플로럴와 시트러스 무드를 함께 표현하는 Bloom Zest 컬러입니다.
Floral,Fruity,Bloom Orchard,#EB969A,플로럴와 프루티 무드를 함께 표현하는 Bloom Orchard 컬러입니다.
Floral,Aromatic,Bloom Herb,#BBA7B8,플로럴와 아로마틱 무드를 함께 표현하는 Bloom Herb 컬러입니다.
Floral,Earthy/Smoky,Bloom Smoke,#B58793,플로럴와 어시/스모키 무드를 함께 표현하는 Bloom Smoke 컬러입니다.
Woody,Floral,Cedar Bloom,#BB847B,우디와 플로럴 무드를 함께 표현하는 Cedar Bloom 컬러입니다.
Woody,Woody,Cedar Cedar,#9B6B43,우디와 우디 무드를 함께 표현하는 Cedar Cedar 컬러입니다.
Woody,Fresh,Cedar Mist,#96987F,우디와 프레시 무드를 함께 표현하는 Cedar Mist 컬러입니다.
Woody,Spicy,Cedar Ember,#AC643F,우디와 스파이시 무드를 함께 표현하는 Cedar Ember 컬러입니다.
